"Notes","Residence State","Residence State Code","Ten-Year Age Groups","Ten-Year Age Groups Code","Year","Year Code",Deaths,Population,Crude Rate
,"Idaho","16","25-34 years","25-34","2023","2023",Suppressed,254531,Suppressed
,"Idaho","16","25-34 years","25-34","2024 (provisional)","2024",Suppressed,254531,Suppressed
,"Idaho","16","25-34 years","25-34","2025 (provisional and partial)","2025",0,254531,Unreliable
,"Idaho","16","35-44 years","35-44","2018","2018",10,220029,Unreliable
,"Idaho","16","35-44 years","35-44","2019","2019",Suppressed,227172,Suppressed
,"Idaho","16","35-44 years","35-44","2020","2020",Suppressed,234230,Suppressed
,"Idaho","16","35-44 years","35-44","2021","2021",Suppressed,249386,Suppressed
,"Idaho","16","35-44 years","35-44","2022","2022",10,252364,Unreliable
,"Idaho","16","35-44 years","35-44","2023","2023",10,257368,Unreliable
,"Idaho","16","35-44 years","35-44","2024 (provisional)","2024",Suppressed,257368,Suppressed
,"Idaho","16","35-44 years","35-44","2025 (provisional and partial)","2025",Suppressed,257368,Suppressed
,"Idaho","16","45-54 years","45-54","2018","2018",22,199925,11.004
,"Idaho","16","45-54 years","45-54","2019","2019",27,201766,13.382
,"Idaho","16","45-54 years","45-54","2020","2020",25,205499,12.166
,"Idaho","16","45-54 years","45-54","2021","2021",28,215984,12.964
,"Idaho","16","45-54 years","45-54","2022","2022",25,219580,11.385
,"Idaho","16","45-54 years","45-54","2023","2023",31,224778,13.791
,"Idaho","16","45-54 years","45-54","2024 (provisional)","2024",20,224778,8.898
,"Idaho","16","45-54 years","45-54","2025 (provisional and partial)","2025",12,224778,Unreliable
,"Idaho","16","55-64 years","55-64","2018","2018",56,214850,26.065
,"Idaho","16","55-64 years","55-64","2019","2019",48,218360,21.982
,"Idaho","16","55-64 years","55-64","2020","2020",39,220824,17.661
,"Idaho","16","55-64 years","55-64","2021","2021",56,228618,24.495
,"Idaho","16","55-64 years","55-64","2022","2022",58,226099,25.652
,"Idaho","16","55-64 years","55-64","2023","2023",46,225904,20.363
,"Idaho","16","55-64 years","55-64","2024 (provisional)","2024",58,225904,25.675
,"Idaho","16","55-64 years","55-64","2025 (provisional and partial)","2025",22,225904,9.739
,"Idaho","16","65-74 years","65-74","2018","2018",70,168241,41.607
,"Idaho","16","65-74 years","65-74","2019","2019",61,175866,34.685
,"Idaho","16","65-74 years","65-74","2020","2020",55,185942,29.579
,"Idaho","16","65-74 years","65-74","2021","2021",72,197346,36.484
,"Idaho","16","65-74 years","65-74","2022","2022",64,199485,32.083
,"Idaho","16","65-74 years","65-74","2023","2023",57,205013,27.803
,"Idaho","16","65-74 years","65-74","2024 (provisional)","2024",81,205013,39.510
,"Idaho","16","65-74 years","65-74","2025 (provisional and partial)","2025",46,205013,22.438
,"Idaho","16","75-84 years","75-84","2018","2018",58,80622,71.941
,"Idaho","16","75-84 years","75-84","2019","2019",60,85030,70.563
