"Notes","Residence State","Residence State Code","Ten-Year Age Groups","Ten-Year Age Groups Code","Year","Year Code",Deaths,Population,Crude Rate
,"Idaho","16","5-14 years","5-14","2023","2023",0,265565,Unreliable
,"Idaho","16","5-14 years","5-14","2024 (provisional)","2024",0,265565,Unreliable
,"Idaho","16","5-14 years","5-14","2025 (provisional and partial)","2025",0,265565,Unreliable
,"Idaho","16","15-24 years","15-24","2018","2018",0,239400,Unreliable
,"Idaho","16","15-24 years","15-24","2019","2019",0,241619,Unreliable
,"Idaho","16","15-24 years","15-24","2020","2020",0,247113,Unreliable
,"Idaho","16","15-24 years","15-24","2021","2021",0,258343,Unreliable
,"Idaho","16","15-24 years","15-24","2022","2022",0,281317,Unreliable
,"Idaho","16","15-24 years","15-24","2023","2023",Suppressed,282067,Suppressed
,"Idaho","16","15-24 years","15-24","2024 (provisional)","2024",0,282067,Unreliable
,"Idaho","16","15-24 years","15-24","2025 (provisional and partial)","2025",0,282067,Unreliable
,"Idaho","16","25-34 years","25-34","2018","2018",0,231382,Unreliable
,"Idaho","16","25-34 years","25-34","2019","2019",0,236490,Unreliable
,"Idaho","16","25-34 years","25-34","2020","2020",0,241578,Unreliable
,"Idaho","16","25-34 years","25-34","2021","2021",Suppressed,248864,Suppressed
,"Idaho","16","25-34 years","25-34","2022","2022",0,251203,Unreliable
,"Idaho","16","25-34 years","25-34","2023","2023",0,254531,Unreliable
,"Idaho","16","25-34 years","25-34","2024 (provisional)","2024",0,254531,Unreliable
,"Idaho","16","25-34 years","25-34","2025 (provisional and partial)","2025",0,254531,Unreliable
,"Idaho","16","35-44 years","35-44","2018","2018",Suppressed,220029,Suppressed
,"Idaho","16","35-44 years","35-44","2019","2019",Suppressed,227172,Suppressed
,"Idaho","16","35-44 years","35-44","2020","2020",Suppressed,234230,Suppressed
,"Idaho","16","35-44 years","35-44","2021","2021",Suppressed,249386,Suppressed
,"Idaho","16","35-44 years","35-44","2022","2022",Suppressed,252364,Suppressed
,"Idaho","16","35-44 years","35-44","2023","2023",Suppressed,257368,Suppressed
,"Idaho","16","35-44 years","35-44","2024 (provisional)","2024",Suppressed,257368,Suppressed
,"Idaho","16","35-44 years","35-44","2025 (provisional and partial)","2025",0,257368,Unreliable
,"Idaho","16","45-54 years","45-54","2018","2018",Suppressed,199925,Suppressed
,"Idaho","16","45-54 years","45-54","2019","2019",Suppressed,201766,Suppressed
,"Idaho","16","45-54 years","45-54","2020","2020",Suppressed,205499,Suppressed
,"Idaho","16","45-54 years","45-54","2021","2021",Suppressed,215984,Suppressed
,"Idaho","16","45-54 years","45-54","2022","2022",Suppressed,219580,Suppressed
,"Idaho","16","45-54 years","45-54","2023","2023",Suppressed,224778,Suppressed
,"Idaho","16","45-54 years","45-54","2024 (provisional)","2024",0,224778,Unreliable
,"Idaho","16","45-54 years","45-54","2025 (provisional and partial)","2025",Suppressed,224778,Suppressed
,"Idaho","16","55-64 years","55-64","2018","2018",Suppressed,214850,Suppressed
,"Idaho","16","55-64 years","55-64","2019","2019",Suppressed,218360,Suppressed
,"Idaho","16","55-64 years","55-64","2020","2020",10,220824,Unreliable
,"Idaho","16","55-64 years","55-64","2021","2021",Suppressed,228618,Suppressed
,"Idaho","16","55-64 years","55-64","2022","2022",Suppressed,226099,Suppressed
,"Idaho","16","55-64 years","55-64","2023","2023",Suppressed,225904,Suppressed
,"Idaho","16","55-64 years","55-64","2024 (provisional)","2024",10,225904,Unreliable
,"Idaho","16","55-64 years","55-64","2025 (provisional and partial)","2025",Suppressed,225904,Suppressed
,"Idaho","16","65-74 years","65-74","2018","2018",Suppressed,168241,Suppressed
,"Idaho","16","65-74 years","65-74","2019","2019",10,175866,Unreliable
,"Idaho","16","65-74 years","65-74","2020","2020",Suppressed,185942,Suppressed
,"Idaho","16","65-74 years","65-74","2021","2021",Suppressed,197346,Suppressed
,"Idaho","16","65-74 years","65-74","2022","2022",11,199485,Unreliable
,"Idaho","16","65-74 years","65-74","2023","2023",Suppressed,205013,Suppressed
,"Idaho","16","65-74 years","65-74","2024 (provisional)","2024",14,205013,Unreliable
,"Idaho","16","65-74 years","65-74","2025 (provisional and partial)","2025",Suppressed,205013,Suppressed
,"Idaho","16","75-84 years","75-84","2018","2018",12,80622,Unreliable
,"Idaho","16","75-84 years","75-84","2019","2019",Suppressed,85030,Suppressed
,"Idaho","16","75-84 years","75-84","2020","2020",Suppressed,89638,Suppressed
,"Idaho","16","75-84 years","75-84","2021","2021",14,90494,Unreliable
,"Idaho","16","75-84 years","75-84","2022","2022",Suppressed,99666,Suppressed
,"Idaho","16","75-84 years","75-84","2023","2023",Suppressed,105707,Suppressed
,"Idaho","16","75-84 years","75-84","2024 (provisional)","2024",10,105707,Unreliable
,"Idaho","16","75-84 years","75-84","2025 (provisional and partial)","2025",Suppressed,105707,Suppressed
,"Idaho","16","85+ years","85+","2018","2018",Suppressed,29419,Suppressed
,"Idaho","16","85+ years","85+","2019","2019",Suppressed,29774,Suppressed
,"Idaho","16","85+ years","85+","2020","2020",10,30414,Unreliable
,"Idaho","16","85+ years","85+","2021","2021",Suppressed,27616,Suppressed
,"Idaho","16","85+ years","85+","2022","2022",Suppressed,31301,Suppressed
,"Idaho","16","85+ years","85+","2023","2023",Suppressed,30410,Suppressed
,"Idaho","16","85+ years","85+","2024 (provisional)","2024",Suppressed,30410,Suppressed
,"Idaho","16","85+ years","85+","2025 (provisional and partial)","2025",Suppressed,30410,Suppressed
,"Idaho","16","Not Stated","NS","2018","2018",0,Not Applicable,Not Applicable
,"Idaho","16","Not Stated","NS","2019","2019",0,Not Applicable,Not Applicable
,"Idaho","16","Not Stated","NS","2020","2020",0,Not Applicable,Not Applicable
,"Idaho","16","Not Stated","NS","2021","2021",0,Not Applicable,Not Applicable
,"Idaho","16","Not Stated","NS","2022","2022",0,Not Applicable,Not Applicable
,"Idaho","16","Not Stated","NS","2023","2023",0,Not Applicable,Not Applicable
,"Idaho","16","Not Stated","NS","2024 (provisional)","2024",0,Not Applicable,Not Applicable
,"Idaho","16","Not Stated","NS","2025 (provisional and partial)","2025",0,Not Applicable,Not Applicable
,"Iowa","19","< 1 year","1","2018","2018",0,38291,Unreliable
,"Iowa","19","< 1 year","1","2019","2019",0,37540,Unreliable
,"Iowa","19","< 1 year","1","2020","2020",0,36974,Unreliable
,"Iowa","19","< 1 year","1","2021","2021",0,35621,Unreliable
,"Iowa","19","< 1 year","1","2022","2022",0,36786,Unreliable
,"Iowa","19","< 1 year","1","2023","2023",0,36766,Unreliable
,"Iowa","19","< 1 year","1","2024 (provisional)","2024",0,36766,Unreliable
,"Iowa","19","< 1 year","1","2025 (provisional and partial)","2025",0,36766,Unreliable
,"Iowa","19","1-4 years","1-4","2018","2018",0,159927,Unreliable
,"Iowa","19","1-4 years","1-4","2019","2019",0,158096,Unreliable
,"Iowa","19","1-4 years","1-4","2020","2020",0,155608,Unreliable
,"Iowa","19","1-4 years","1-4","2021","2021",0,153435,Unreliable
,"Iowa","19","1-4 years","1-4","2022","2022",0,149414,Unreliable
,"Iowa","19","1-4 years","1-4","2023","2023",0,149273,Unreliable
,"Iowa","19","1-4 years","1-4","2024 (provisional)","2024",0,149273,Unreliable
,"Iowa","19","1-4 years","1-4","2025 (provisional and partial)","2025",0,149273,Unreliable
,"Iowa","19","5-14 years","5-14","2018","2018",0,409679,Unreliable
,"Iowa","19","5-14 years","5-14","2019","2019",0,408495,Unreliable
,"Iowa","19","5-14 years","5-14","2020","2020",0,409002,Unreliable
,"Iowa","19","5-14 years","5-14","2021","2021",0,417424,Unreliable
,"Iowa","19","5-14 years","5-14","2022","2022",0,408072,Unreliable
,"Iowa","19","5-14 years","5-14","2023","2023",0,409598,Unreliable
,"Iowa","19","5-14 years","5-14","2024 (provisional)","2024",0,409598,Unreliable
,"Iowa","19","5-14 years","5-14","2025 (provisional and partial)","2025",0,409598,Unreliable
,"Iowa","19","15-24 years","15-24","2018","2018",Suppressed,441900,Suppressed
,"Iowa","19","15-24 years","15-24","2019","2019",0,436415,Unreliable
,"Iowa","19","15-24 years","15-24","2020","2020",0,437831,Unreliable
,"Iowa","19","15-24 years","15-24","2021","2021",0,446098,Unreliable
,"Iowa","19","15-24 years","15-24","2022","2022",0,458710,Unreliable
,"Iowa","19","15-24 years","15-24","2023","2023",Suppressed,453609,Suppressed
,"Iowa","19","15-24 years","15-24","2024 (provisional)","2024",0,453609,Unreliable
,"Iowa","19","15-24 years","15-24","2025 (provisional and partial)","2025",0,453609,Unreliable
,"Iowa","19","25-34 years","25-34","2018","2018",Suppressed,397715,Suppressed
,"Iowa","19","25-34 years","25-34","2019","2019",Suppressed,398150,Suppressed
,"Iowa","19","25-34 years","25-34","2020","2020",Suppressed,398796,Suppressed
,"Iowa","19","25-34 years","25-34","2021","2021",Suppressed,397565,Suppressed
,"Iowa","19","25-34 years","25-34","2022","2022",0,398236,Unreliable
,"Iowa","19","25-34 years","25-34","2023","2023",Suppressed,400063,Suppressed
,"Iowa","19","25-34 years","25-34","2024 (provisional)","2024",0,400063,Unreliable
,"Iowa","19","25-34 years","25-34","2025 (provisional and partial)","2025",0,400063,Unreliable
,"Iowa","19","35-44 years","35-44","2018","2018",Suppressed,379935,Suppressed
,"Iowa","19","35-44 years","35-44","2019","2019",Suppressed,385215,Suppressed
